rank_within_split,split,scene,acquisition_date,tile_name,tile,label,mask_pixels,latitude,longitude,left,bottom,right,top,center_x,center_y,cnn_score,unet_mean_probability,unet_max_probability,unet_p95_probability,candidate_pixel_count,candidate_fraction,final_fusion_score
1,validation,S1A_20190824,2019-08-24,S1A_20190824_r16420_c16832_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c16832_negative.npz,negative,0,20.100507952389176,71.02648511370305,709320.0398668933,2221331.6731203357,714440.0398668933,2226451.6731203357,711880.0398668933,2223891.6731203357,0.8470677733421326,0.17419400811195374,0.37225136160850525,0.24582214653491974,54988,0.2097625732421875,2.27278559074222
2,validation,S1A_20190824,2019-08-24,S1A_20190824_r16932_c16832_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c16832_negative.npz,negative,0,20.05426959142469,71.02589074319089,709320.0398668933,2216211.6731203357,714440.0398668933,2221331.6731203357,711880.0398668933,2218771.6731203357,0.8606759905815125,0.1734069436788559,0.35731610655784607,0.23787647485733032,51923,0.19807052612304688,2.222913050950918
3,validation,S1A_20190824,2019-08-24,S1A_20190824_r19492_c25024_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r19492_c25024_positive.npz,positive,58609,19.812503630182803,71.80448006200643,791240.0398668933,2190611.6731203357,796360.0398668933,2195731.6731203357,793800.0398668933,2193171.6731203357,0.7975133061408997,0.17742520570755005,0.36750978231430054,0.24987338483333588,64091,0.24448776245117188,2.2056166135044113
4,validation,S1A_20190824,2019-08-24,S1A_20190824_r16420_c17344_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c17344_negative.npz,negative,0,20.099938902401952,71.07543057392425,714440.0398668933,2221331.6731203357,719560.0398668933,2226451.6731203357,717000.0398668933,2223891.6731203357,0.8092809915542603,0.17526176571846008,0.36348268389701843,0.24389897286891937,58751,0.22411727905273438,2.1674764395569666
5,validation,S1A_20190824,2019-08-24,S1A_20190824_r18980_c25024_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r18980_c25024_positive.npz,positive,16845,19.858716605553976,71.80529196185358,791240.0398668933,2195731.6731203357,796360.0398668933,2200851.6731203357,793800.0398668933,2198291.6731203357,0.7855139374732971,0.17786617577075958,0.35820645093917847,0.24655334651470184,64590,0.24639129638671875,2.145068138903883
6,validation,S1A_20190824,2019-08-24,S1A_20190824_r16932_c17344_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16932_c17344_positive.npz,positive,7953,20.053701959983826,71.07482187246526,714440.0398668933,2216211.6731203357,719560.0398668933,2221331.6731203357,717000.0398668933,2218771.6731203357,0.6858410239219666,0.17286840081214905,0.36760270595550537,0.2489534169435501,53328,0.20343017578125,1.8584012229106899
7,validation,S1A_20190824,2019-08-24,S1A_20190824_r17444_c16832_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r17444_c16832_negative.npz,negative,0,20.008030972019167,71.02529803248002,709320.0398668933,2211091.6731203357,714440.0398668933,2216211.6731203357,711880.0398668933,2213651.6731203357,0.7218673229217529,0.1660553216934204,0.35456418991088867,0.22312955558300018,32002,0.12207794189453125,1.6708726494881085
8,validation,S1A_20190824,2019-08-24,S1A_20190824_r18468_c25024_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r18468_c25024_positive.npz,positive,20148,19.904929309608516,71.80610614823692,791240.0398668933,2200851.6731203357,796360.0398668933,2205971.6731203357,793800.0398668933,2203411.6731203357,0.6510878205299377,0.16967856884002686,0.36546093225479126,0.23234403133392334,43503,0.16595077514648438,1.6157236219221556
9,validation,S1A_20190812,2019-08-12,S1A_20190812_r15908_c22463_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c22463_positive.npz,positive,2854,20.139691677026192,71.56550222539866,765636.2547835225,2226448.068746178,770756.2547835225,2231568.068746178,768196.2547835225,2229008.068746178,0.80539470911026,0.15821796655654907,0.3396460711956024,0.1838134527206421,8333,0.031787872314453125,1.336541255625685
10,validation,S1A_20190812,2019-08-12,S1A_20190812_r15908_c21439_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c21439_negative.npz,negative,0,20.14109066508423,71.4676182089931,755396.2547835225,2226448.068746178,760516.2547835225,2231568.068746178,757956.2547835225,2229008.068746178,0.6649090051651001,0.15896238386631012,0.3196670114994049,0.20074783265590668,13583,0.051815032958984375,1.2702730430324631
11,validation,S1A_20190824,2019-08-24,S1A_20190824_r16420_c18368_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c18368_negative.npz,negative,0,20.098760130197952,71.1733163481068,724680.0398668933,2221331.6731203357,729800.0398668933,2226451.6731203357,727240.0398668933,2223891.6731203357,0.5779960751533508,0.1625768542289734,0.3366588354110718,0.21253737807273865,24031,0.09167098999023438,1.2391626748941118
12,validation,S1A_20190812,2019-08-12,S1A_20190812_r15908_c21951_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c21951_negative.npz,negative,0,20.140397957007714,71.51656124963903,760516.2547835225,2226448.068746178,765636.2547835225,2231568.068746178,763076.2547835225,2229008.068746178,0.6501318216323853,0.15740621089935303,0.3262331485748291,0.1961265653371811,11284,0.0430450439453125,1.189807566098353
13,validation,S1A_20190812,2019-08-12,S1A_20190812_r17444_c22463_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r17444_c22463_negative.npz,negative,0,20.001028974187918,71.56324662760144,765636.2547835225,2211088.068746178,770756.2547835225,2216208.068746178,768196.2547835225,2213648.068746178,0.6336997747421265,0.1568402349948883,0.3287627100944519,0.18951527774333954,8764,0.0334320068359375,1.0902922365379626
14,validation,S1A_20190812,2019-08-12,S1A_20190812_r16420_c21951_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r16420_c21951_negative.npz,negative,0,20.094175567620045,71.51582162829816,760516.2547835225,2221328.068746178,765636.2547835225,2226448.068746178,763076.2547835225,2223888.068746178,0.620829701423645,0.1573433130979538,0.33014100790023804,0.1909029185771942,9175,0.034999847412109375,1.0814011598900979
15,validation,S1A_20190812,2019-08-12,S1A_20190812_r15396_c21439_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c21439_negative.npz,negative,0,20.187314510417462,71.46834550668765,755396.2547835225,2231568.068746178,760516.2547835225,2236688.068746178,757956.2547835225,2234128.068746178,0.5459498763084412,0.1584462821483612,0.34953880310058594,0.20344951748847961,15008,0.0572509765625,1.0681252833389532
16,validation,S1A_20190824,2019-08-24,S1A_20190824_r16420_c17856_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190824_r16420_c17856_negative.npz,negative,0,20.099356294330093,71.12437433207329,719560.0398668933,2221331.6731203357,724680.0398668933,2226451.6731203357,722120.0398668933,2223891.6731203357,0.536798357963562,0.15959128737449646,0.3273192048072815,0.20467108488082886,16465,0.06280899047851562,1.066705511131512
17,validation,S1A_20190812,2019-08-12,S1A_20190812_r16420_c21439_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r16420_c21439_negative.npz,negative,0,20.09486655232901,71.46689293615982,755396.2547835225,2221328.068746178,760516.2547835225,2226448.068746178,757956.2547835225,2223888.068746178,0.6116475462913513,0.15687976777553558,0.31306350231170654,0.19006948173046112,8791,0.033535003662109375,1.0557859494550232
18,validation,S1A_20190812,2019-08-12,S1A_20190812_r15908_c25535_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c25535_negative.npz,negative,0,20.135169127787442,71.85910247709225,796356.2547835225,2226448.068746178,801476.2547835225,2231568.068746178,798916.2547835225,2229008.068746178,0.5892847180366516,0.15657779574394226,0.3258737623691559,0.18877938389778137,8907,0.033977508544921875,1.0117386966121584
19,validation,S1A_20190812,2019-08-12,S1A_20190812_r15908_c25023_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15908_c25023_negative.npz,negative,0,20.135956786043167,71.8101747306566,791236.2547835225,2226448.068746178,796356.2547835225,2231568.068746178,793796.2547835225,2229008.068746178,0.5516870021820068,0.15709425508975983,0.3542373776435852,0.19511406123638153,10967,0.041835784912109375,1.0013642308736523
20,validation,S1A_20190812,2019-08-12,S1A_20190812_r17956_c21951_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r17956_c21951_negative.npz,negative,0,19.95550679445049,71.51361512602094,760516.2547835225,2205968.068746178,765636.2547835225,2211088.068746178,763076.2547835225,2208528.068746178,0.6068544983863831,0.15634892880916595,0.30318400263786316,0.18644613027572632,6919,0.026393890380859375,1.000453392878688
21,validation,S1A_20190812,2019-08-12,S1A_20190812_r15396_c25023_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c25023_negative.npz,negative,0,20.18216785204693,71.81100268799504,791236.2547835225,2231568.068746178,796356.2547835225,2236688.068746178,793796.2547835225,2234128.068746178,0.5175466537475586,0.15823599696159363,0.33387064933776855,0.20051555335521698,13364,0.0509796142578125,0.9859144128370932
22,validation,S1A_20190812,2019-08-12,S1A_20190812_r16420_c22463_positive.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r16420_c22463_positive.npz,positive,7826,20.09347104475601,71.56474825831319,765636.2547835225,2221328.068746178,770756.2547835225,2226448.068746178,768196.2547835225,2223888.068746178,0.6147025227546692,0.15575195848941803,0.35784074664115906,0.1802903562784195,6754,0.02576446533203125,0.977258532088127
23,validation,S1A_20190812,2019-08-12,S1A_20190812_r15396_c22463_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c22463_negative.npz,negative,0,20.18591203989608,71.566258297389,765636.2547835225,2231568.068746178,770756.2547835225,2236688.068746178,768196.2547835225,2234128.068746178,0.514354944229126,0.1575053632259369,0.3258058428764343,0.19878554344177246,12634,0.04819488525390625,0.9656374229287121
24,validation,S1A_20190812,2019-08-12,S1A_20190812_r15396_c25535_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r15396_c25535_negative.npz,negative,0,20.181378233212712,71.85994480243455,796356.2547835225,2231568.068746178,801476.2547835225,2236688.068746178,798916.2547835225,2234128.068746178,0.5477498173713684,0.15647819638252258,0.32589197158813477,0.18930815160274506,9402,0.03586578369140625,0.9486694905957858
25,validation,S1A_20190812,2019-08-12,S1A_20190812_r16932_c21951_negative.npz,D:\SIHwork_2026\data\training_tiles_clean\tiles_npz\S1A_20190812_r16932_c21951_negative.npz,negative,0,20.04795291037084,71.51508406908218,760516.2547835225,2216208.068746178,765636.2547835225,2221328.068746178,763076.2547835225,2218768.068746178,0.602206289768219,0.15520621836185455,0.32595372200012207,0.17983905971050262,6221,0.023731231689453125,0.9460940550624479
